Gm#,Date,boxscore,Tm,@,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
111,Thursday Aug 11,boxscore,ARI,,PIT,W,9,3,,51-60,4,26.5,Ginkel,De Jong,,3:20,D,12725,.05,+,
112,Friday Aug 12,boxscore,ARI,@,COL,L,3,5,,51-61,4,27.5,Lamet,Devenski,Estévez,2:33,N,32055,.06,-,
113,Saturday Aug 13,boxscore,ARI,@,COL,W,6,0,,52-61,4,27.5,Gallen,Ureña,,2:47,N,35233,.04,+,
114,Sunday Aug 14,boxscore,ARI,@,COL,W,7,4,,53-61,4,26.5,Henry,Feltner,Kennedy,3:08,D,32442,.06,++,
115,Monday Aug 15,boxscore,ARI,@,SFG,L,1,6,,53-62,4,27.5,Cobb,Bumgarner,,3:00,N,20694,.08,-,
116,Tuesday Aug 16,boxscore,ARI,@,SFG,L-wo,1,2,,53-63,4,27.5,Brebbia,Kennedy,,2:46,N,20897,.05,--,
117,Wednesday Aug 17,boxscore,ARI,@,SFG,W,3,2,,54-63,4,27.5,Ramirez,Leone,Melancon,3:07,N,22649,.04,+,
118,Thursday Aug 18,boxscore,ARI,@,SFG,W,5,0,,55-63,4,26.5,Gallen,Webb,,2:55,D,26197,.05,++,
119,Friday Aug 19,boxscore,ARI,,STL,L,1,5,,55-64,4,27.5,Mikolas,Henry,,2:52,N,32183,.06,-,
120,Saturday Aug 20,boxscore,ARI,,STL,L,7,16,,55-65,4,28.5,Cabrera,Bumgarner,,3:43,N,34248,.06,--,
121,Sunday Aug 21,boxscore,ARI,,STL,L,4,6,,55-66,4,29.5,Woodford,Mantiply,Gallegos,3:35,D,25064,.04,---,
122,Tuesday Aug 23,boxscore,ARI,@,KCR,W,7,3,,56-66,4,29.0,Mantiply,Staumont,,3:29,N,12427,.02,+,
123,Wednesday Aug 24,boxscore,ARI,@,KCR,L,3,5,,56-67,4,30.0,Singer,Ramirez,,2:59,N,10531,.03,-,
124,Friday Aug 26,boxscore,ARI,@,CHW,W,7,2,,57-67,4,30.0,Henry,Cueto,,2:40,N,33054,.03,+,
125,Saturday Aug 27,boxscore,ARI,@,CHW,W,10,5,,58-67,4,29.0,Kelly,Martin,,3:32,N,25837,.03,++,
126,Sunday Aug 28,boxscore,ARI,@,CHW,W,3,2,,59-67,4,29.0,Ramirez,Graveman,Kennedy,2:50,D,29781,.03,+++,
127,Monday Aug 29,boxscore,ARI,,PHI,W,13,7,,60-67,4,29.0,Frías,Sánchez,,3:35,N,18594,.04,++++,
128,Tuesday Aug 30,boxscore,ARI,,PHI,W,12,3,,61-67,3,29.0,Gallen,Nola,,2:59,N,16873,.05,+++++,
129,Wednesday Aug 31,boxscore,ARI,,PHI,L,2,18,,61-68,3,29.0,Falter,Henry,,3:26,N,13690,.06,-,
130,Thursday Sep 1,boxscore,ARI,,MIL,W,5,0,,62-68,3,28.0,Kelly,Woodruff,,2:28,N,10495,.03,+,
131,Friday Sep 2,boxscore,ARI,,MIL,W,2,1,,63-68,3,27.0,Nelson,Lauer,Kennedy,2:51,N,13488,.04,++,
132,Saturday Sep 3,boxscore,ARI,,MIL,L,6,8,10,63-69,4,28.0,Williams,Mantiply,Rogers,4:12,N,22138,.05,-,
133,Sunday Sep 4,boxscore,ARI,,MIL,W,5,1,,64-69,4,28.0,Gallen,Alexander,,2:39,D,20274,.04,+,
134,Monday Sep 5,boxscore,ARI,@,SDP,W,5,0,,65-69,4,27.0,Nelson,Snell,,2:51,D,37713,.07,++,
135,Tuesday Sep 6,boxscore,ARI,@,SDP,L-wo,5,6,,65-70,4,28.0,Martinez,Kennedy,,3:13,N,31380,.08,-,
136,Wednesday Sep 7,boxscore,ARI,@,SDP,L,3,6,,65-71,4,29.0,Darvish,Henry,Hader,3:03,N,36948,.05,--,
137,Friday Sep 9,boxscore,ARI,@,COL,L-wo,10,13,,65-72,3,29.0,Bard,Smith,,3:05,N,34848,.02,---,
138,Saturday Sep 10,boxscore,ARI,@,COL,L,1,4,,65-73,4,30.0,Lawrence,Bumgarner,Bard,3:01,N,27871,.01,----,
139,Sunday Sep 11,boxscore,ARI,@,COL,W,12,6,,66-73,4,30.0,Gallen,Feltner,,3:46,D,27546,.00,+,
140,Monday Sep 12,boxscore,ARI,,LAD,L,0,6,,66-74,4,31.0,Anderson,Nelson,,2:37,N,19393,.01,-,
141,Tuesday Sep 13,boxscore,ARI,,LAD,L,0,4,,66-75,4,32.0,Kershaw,Kelly,,2:54,N,21143,.00,--,
