Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
76,Friday Jun 21,boxscore,BOS,@,CIN,L,2,5,,40-36,3,10.0,Abbott,Crawford,Díaz,2:30,N,37146,.79,-,
77,Saturday Jun 22,boxscore,BOS,@,CIN,W,4,3,,41-36,3,10.0,Kelly,Wilson,Jansen,2:53,D,31803,.79,+,
78,Sunday Jun 23,boxscore,BOS,@,CIN,W,7,4,,42-36,3,9.0,Bernardino,Lodolo,Jansen,2:53,D,29199,.80,++,
79,Monday Jun 24,boxscore,BOS,,TOR,W-wo,7,6,,43-36,3,8.5,Jansen,Pop,,2:37,N,35856,.90,+++,
80,Tuesday Jun 25,boxscore,BOS,,TOR,L,4,9,,43-37,3,8.5,Gausman,Bello,,2:45,N,34546,.95,-,
81,Wednesday Jun 26,boxscore,BOS,,TOR,L,1,4,,43-38,3,8.5,Pop,Pivetta,Green,2:36,D,34756,.98,--,
82,Friday Jun 28,boxscore,BOS,,SDP,L,2,9,,43-39,3,9.0,Kolek,Pivetta,,2:49,N,33540,.92,---,
83,Saturday Jun 29,boxscore,BOS,,SDP,L,1,11,,43-40,3,10.0,King,Houck,,2:35,D,33003,.87,----,
84,Sunday Jun 30,boxscore,BOS,,SDP,W,4,1,,44-40,3,9.0,Winckowski,Waldron,Jansen,2:28,D,30665,.88,+,
85,Tuesday Jul 2,boxscore,BOS,@,MIA,W,8,3,,45-40,3,9.0,Crawford,Bellozo,,2:30,N,14676,.89,++,
86,Wednesday Jul 3,boxscore,BOS,@,MIA,W,7,2,,46-40,3,9.0,Bello,Rogers,,2:50,N,20285,.92,+++,
87,Thursday Jul 4,boxscore,BOS,@,MIA,W,6,5,12,47-40,3,8.0,Kelly,Andriese,Weissert,3:36,D,20539,.96,++++,
88,Friday Jul 5,boxscore,BOS,@,NYY,W,5,3,10,48-40,3,8.0,Slaten,Kahnle,Jansen,2:49,N,47158,1.20,+++++,
89,Saturday Jul 6,boxscore,BOS,@,NYY,L,4,14,,48-41,3,8.0,Hill,Bernardino,,2:57,D,45504,1.23,-,
90,Sunday Jul 7,boxscore,BOS,@,NYY,W,3,0,,49-41,3,8.0,Crawford,Gil,Jansen,2:23,N,45250,1.17,+,
91,Tuesday Jul 9,boxscore,BOS,,OAK,W,12,9,,50-41,3,7.0,Bello,Estes,,3:05,N,31826,1.07,++,
92,Wednesday Jul 10,boxscore,BOS,,OAK,L,2,5,,50-42,3,7.0,Sears,Pivetta,Miller,2:46,N,32935,1.12,-,
93,Thursday Jul 11,boxscore,BOS,,OAK,W,7,0,,51-42,3,6.0,Houck,Medina,Anderson,2:20,N,33512,1.11,+,
94,Friday Jul 12,boxscore,BOS,,KCR,L,1,6,,51-43,3,6.0,Ragans,Criswell,,2:16,N,34894,1.35,-,
95,Saturday Jul 13,boxscore,BOS,,KCR,W,5,0,,52-43,3,5.0,Crawford,Lugo,,2:12,D,32378,1.32,+,
96,Sunday Jul 14,boxscore,BOS,,KCR,W,5,4,,53-43,3,5.0,Bello,Singer,Jansen,2:40,D,35351,1.39,++,
97,Friday Jul 19,boxscore,BOS,@,LAD,L,1,4,,53-44,3,6.0,Yarbrough,Bernardino,Hudson,2:36,N,51562,1.20,-,
98,Saturday Jul 20,boxscore,BOS,@,LAD,L-wo,6,7,11,53-45,3,7.0,Treinen,Weissert,,3:30,D,48129,1.18,--,
99,Sunday Jul 21,boxscore,BOS,@,LAD,L,6,9,,53-46,3,7.0,Paxton,Crawford,Hudson,2:42,D,50824,1.15,---,
100,Monday Jul 22,boxscore,BOS,@,COL,L-wo,8,9,12,53-47,3,7.5,Lawrence,Horn,,3:25,N,35261,1.18,----,
101,Tuesday Jul 23,boxscore,BOS,@,COL,W,6,0,,54-47,3,6.5,Criswell,Blach,,2:38,N,36553,1.10,+,
102,Wednesday Jul 24,boxscore,BOS,@,COL,L,7,20,,54-48,3,6.5,Quantrill,Pivetta,,2:51,D,36579,1.19,-,
