Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
134,Tuesday Sep 6,boxscore,SFG,@,LAD,L,3,6,,65-69,3,27.5,Anderson,García,Kimbrel,2:43,N,39752,.12,-,
135,Wednesday Sep 7,boxscore,SFG,@,LAD,L,3,7,,65-70,3,28.5,Phillips,Littell,,3:13,D,39237,.07,--,
136,Thursday Sep 8 (1),boxscore,SFG,@,MIL,L,1,2,,65-71,4,29.5,Burnes,Junis,Williams,2:20,D,,.04,---,
137,Thursday Sep 8 (2),boxscore,SFG,@,MIL,L,2,4,,65-72,4,29.5,Strzelecki,Young,Rogers,3:08,D,23019,.03,----,
138,Friday Sep 9,boxscore,SFG,@,CHC,L,2,4,,65-73,4,29.5,Smyly,Rodón,Hughes,2:52,D,31309,.01,-----,
139,Saturday Sep 10,boxscore,SFG,@,CHC,W,5,2,,66-73,3,29.5,Webb,Stroman,Doval,2:43,D,40086,.00,+,
140,Sunday Sep 11,boxscore,SFG,@,CHC,W,4,2,,67-73,3,29.5,Littell,Wesneski,Doval,3:21,N,30004,.01,++,
141,Monday Sep 12,boxscore,SFG,,ATL,W,3,2,,68-73,3,29.5,Cobb,Strider,Alexander,2:47,N,23790,.01,+++,
142,Tuesday Sep 13,boxscore,SFG,,ATL,L,1,5,,68-74,3,30.5,Wright,Junis,,3:01,N,24872,.01,-,
143,Wednesday Sep 14,boxscore,SFG,,ATL,W,4,1,,69-74,3,29.5,Rodón,Morton,Doval,2:45,D,25093,.00,+,
144,Friday Sep 16,boxscore,SFG,,LAD,L,0,5,,69-75,3,30.5,May,Webb,,2:59,N,37487,.01,-,
145,Saturday Sep 17,boxscore,SFG,,LAD,L,2,7,,69-76,3,31.5,Urías,Hjelle,,3:12,N,40171,.00,--,
146,Sunday Sep 18,boxscore,SFG,,LAD,L,3,4,10,69-77,3,32.5,Kimbrel,Brebbia,Bruihl,4:11,D,32137,.00,---,
147,Monday Sep 19,boxscore,SFG,@,COL,W,10,7,10,70-77,3,32.5,Doval,Hollowell,Alexander,3:45,N,23055,.00,+,
