Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
124,Saturday Aug 17,boxscore,CHC,,TOR,W,3,2,,61-63,3,10.5,Pearson,Bassitt,López,2:31,D,38755,.25,++,
125,Sunday Aug 18,boxscore,CHC,,TOR,L,0,1,,61-64,3,11.5,Francis,Imanaga,Green,2:32,D,36117,.28,-,
126,Tuesday Aug 20,boxscore,CHC,,DET,W,3,1,,62-64,2,11.5,Assad,Sammons,Hodge,2:25,N,31119,.18,+,
127,Wednesday Aug 21,boxscore,CHC,,DET,L,2,8,,62-65,3,11.5,Hurter,Taillon,,2:38,N,31940,.23,-,
128,Thursday Aug 22,boxscore,CHC,,DET,W,10,2,,63-65,3,10.5,Steele,Maeda,,2:13,D,33536,.15,+,
129,Friday Aug 23,boxscore,CHC,@,MIA,W,6,3,,64-65,3,10.5,Hodge,de Geus,López,2:47,N,13992,.19,++,
130,Saturday Aug 24,boxscore,CHC,@,MIA,W,14,2,,65-65,2,10.5,Imanaga,Bellozo,,2:41,D,18138,.23,+++,
131,Sunday Aug 25,boxscore,CHC,@,MIA,L,2,7,,65-66,3,10.5,Oller,Assad,,2:26,D,17275,.26,-,
132,Monday Aug 26,boxscore,CHC,@,PIT,W,18,8,,66-66,2,10.0,Taillon,Keller,,3:13,N,11936,.21,+,
133,Tuesday Aug 27,boxscore,CHC,@,PIT,W,9,5,,67-66,2,9.0,Steele,Jones,,2:57,N,13619,.24,++,
134,Wednesday Aug 28,boxscore,CHC,@,PIT,W,14,10,,68-66,2,9.0,Hodge,Bednar,,3:37,D,12660,.27,+++,
135,Friday Aug 30,boxscore,CHC,@,WSN,W,7,6,,69-66,2,10.0,Imanaga,Irvin,Thompson,2:39,N,28792,.34,++++,
136,Saturday Aug 31,boxscore,CHC,@,WSN,W,5,3,,70-66,2,10.0,Assad,Herz,Hodge,2:38,D,32995,.35,+++++,
137,Sunday Sep 1,boxscore,CHC,@,WSN,W,14,1,,71-66,2,9.0,Wicks,Parker,,2:42,D,31086,.51,++++++,
138,Monday Sep 2,boxscore,CHC,,PIT,L,3,5,,71-67,2,10.0,Beeks,López,Santana,2:18,N,33583,.55,-,
139,Tuesday Sep 3,boxscore,CHC,,PIT,L,0,5,,71-68,2,10.0,Skenes,Hendricks,,2:30,N,29450,.42,--,
140,Wednesday Sep 4,boxscore,CHC,,PIT,W,12,0,,72-68,2,9.0,Imanaga,Germán,,2:10,N,30369,.21,+,
141,Friday Sep 6,boxscore,CHC,,NYY,L,0,3,,72-69,2,9.0,Gil,Wicks,Weaver,2:42,D,40101,.25,-,
142,Saturday Sep 7,boxscore,CHC,,NYY,L,0,2,,72-70,2,10.0,Cortés,Assad,,2:34,D,40080,.13,--,
143,Sunday Sep 8,boxscore,CHC,,NYY,W,2,1,,73-70,2,9.0,Taillon,Cole,Hodge,2:18,D,39364,.09,+,
144,Monday Sep 9,boxscore,CHC,@,LAD,W,10,4,,74-70,2,8.5,Thompson,Buehler,,2:50,N,50495,.12,++,
145,Tuesday Sep 10,boxscore,CHC,@,LAD,W,6,3,,75-70,2,8.5,Imanaga,Phillips,Hodge,2:36,N,51923,.17,+++,
146,Wednesday Sep 11,boxscore,CHC,@,LAD,L,8,10,,75-71,2,8.5,Vesia,Armstrong,Kopech,2:56,N,48691,.19,-,
147,Friday Sep 13,boxscore,CHC,@,COL,L,5,9,,75-72,2,10.0,Vodnik,Smyly,,2:23,N,38406,.12,--,
148,Saturday Sep 14,boxscore,CHC,@,COL,L-wo,5,6,10,75-73,2,11.0,Kinley,Smyly,,2:44,N,47493,.04,---,
149,Sunday Sep 15,boxscore,CHC,@,COL,W,6,2,,76-73,2,10.0,Hendricks,Quantrill,Miller,3:12,D,40706,.01,+,
150,Monday Sep 16,boxscore,CHC,,OAK,W,9,2,,77-73,2,10.0,Imanaga,Estes,,2:33,N,34532,.03,++,
151,Tuesday Sep 17,boxscore,CHC,,OAK,L,3,4,,77-74,2,10.0,Spence,Wicks,Miller,2:48,N,32718,.05,-,
152,Wednesday Sep 18,boxscore,CHC,,OAK,L,3,5,,77-75,2,11.0,Ferguson,Pearson,Miller,2:40,D,27806,.02,--,
153,Thursday Sep 19,boxscore,CHC,,WSN,W,7,6,,78-75,2,10.0,Roberts,Garcia,Hodge,2:51,N,31479,.00,+,
154,Friday Sep 20,boxscore,CHC,,WSN,W,3,1,,79-75,2,9.0,Taillon,Williams,Hodge,2:19,D,29590,.00,++,
155,Saturday Sep 21,boxscore,CHC,,WSN,L,1,5,,79-76,2,9.0,Gore,Hendricks,,2:23,D,38819,.00,-,
156,Sunday Sep 22,boxscore,CHC,,WSN,W,5,0,,80-76,2,9.0,Imanaga,Irvin,,2:34,D,30086,.00,+,
157,Monday Sep 23,boxscore,CHC,@,PHI,L,2,6,,80-77,2,9.5,Nola,Kilian,,2:34,N,42386,.00,-,
158,Tuesday Sep 24,boxscore,CHC,@,PHI,W,10,4,,81-77,2,9.5,Smyly,Banks,,2:44,N,42033,.00,+,
159,Wednesday Sep 25,boxscore,CHC,@,PHI,L,6,9,,81-78,3,9.5,Ruiz,Assad,,2:44,N,42438,.00,-,
160,Friday Sep 27,boxscore,CHC,,CIN,W,1,0,,82-78,2,10.0,Taillon,Martinez,Hodge,1:48,D,32083,.00,+,
161,Saturday Sep 28,boxscore,CHC,,CIN,W,3,0,,83-78,2,10.0,Miller,Farmer,Hodge,2:13,D,38180,.00,++,
162,Sunday Sep 29,boxscore,CHC,,CIN,L,0,3,10,83-79,2,10.0,Santillan,Roberts,Farmer,3:01,D,33792,.00,-,
