Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
148,Saturday Sep 14,boxscore,ARI,,MIL,L,8,15,,82-66,3,5.0,Myers,Pfaadt,,3:03,N,44886,1.38,--,
149,Sunday Sep 15,boxscore,ARI,,MIL,W-wo,11,10,10,83-66,3,5.0,Walston,Koenig,,3:50,D,33708,1.58,+,
150,Monday Sep 16,boxscore,ARI,@,COL,L-wo,2,3,,83-67,3,6.0,Halvorsen,Thompson,,2:14,N,18454,1.16,-,
151,Tuesday Sep 17,boxscore,ARI,@,COL,L,2,8,,83-68,3,6.0,Feltner,Montgomery,,2:42,N,20421,1.30,--,
152,Wednesday Sep 18,boxscore,ARI,@,COL,W,9,4,,84-68,3,6.0,Rodríguez,Gomber,,2:39,D,20805,1.39,+,
153,Thursday Sep 19,boxscore,ARI,@,MIL,W,5,1,,85-68,3,6.0,Pfaadt,Myers,,2:37,N,25093,1.46,++,
154,Friday Sep 20,boxscore,ARI,@,MIL,W,7,4,,86-68,3,6.0,Gallen,Hall,Puk,2:56,N,32123,1.50,+++,
155,Saturday Sep 21,boxscore,ARI,@,MIL,W,5,0,,87-68,3,5.0,Kelly,Civale,,2:42,N,35068,.84,++++,
156,Sunday Sep 22,boxscore,ARI,@,MIL,L,9,10,,87-69,3,6.0,Koenig,Martinez,Williams,3:34,D,37612,.85,-,
157,Monday Sep 23,boxscore,ARI,,SFG,L,3,6,,87-70,3,6.5,Birdsong,Rodríguez,Walker,2:41,N,23359,1.53,--,
158,Tuesday Sep 24,boxscore,ARI,,SFG,L,0,11,,87-71,3,6.5,Webb,Pfaadt,,2:33,N,22355,2.05,---,
159,Wednesday Sep 25,boxscore,ARI,,SFG,W,8,2,,88-71,3,6.5,Gallen,Black,,2:44,N,23767,2.82,+,
160,Friday Sep 27,boxscore,ARI,,SDP,L,3,5,,88-72,3,8.0,Darvish,Kelly,Suarez,2:54,N,43310,2.92,-,
161,Saturday Sep 28,boxscore,ARI,,SDP,L,0,5,,88-73,3,9.0,Peralta,Puk,,2:31,N,42915,3.76,--,
162,Sunday Sep 29,boxscore,ARI,,SDP,W,11,2,,89-73,3,9.0,Pfaadt,Pérez,Nelson,2:41,D,38892,4.46,+,
