Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
137,Wednesday Sep 7,boxscore,LAA,,DET,L,4,5,,60-77,3,28.0,Cisnero,Quijada,Soto,3:35,D,15756,.00,-,
138,Friday Sep 9,boxscore,LAA,@,HOU,L,3,4,,60-78,3,29.0,McCullers,Wantz,Pressly,3:00,N,33509,.00,--,
139,Saturday Sep 10,boxscore,LAA,@,HOU,W,6,1,,61-78,3,28.0,Ohtani,Urquidy,,3:08,N,38533,.00,+,
140,Sunday Sep 11,boxscore,LAA,@,HOU,L,4,12,,61-79,3,29.0,Garcia,Davidson,,3:27,D,32901,.00,-,
141,Monday Sep 12,boxscore,LAA,@,CLE,L,4,5,,61-80,3,30.0,De Los Santos,Loup,Clase,3:08,N,12461,.00,--,
142,Tuesday Sep 13,boxscore,LAA,@,CLE,L,1,3,,61-81,4,31.0,McCarty,Suarez,Clase,2:58,N,14419,.00,---,
143,Wednesday Sep 14,boxscore,LAA,@,CLE,L,3,5,,61-82,4,32.0,Stephan,Tepera,Karinchak,2:56,D,14529,.00,----,
144,Friday Sep 16,boxscore,LAA,,SEA,W,8,7,,62-82,4,32.5,Lorenzen,Ray,Tepera,3:29,N,37480,.00,+,
145,Saturday Sep 17,boxscore,LAA,,SEA,W,2,1,,63-82,3,31.5,Ohtani,Kirby,Loup,2:48,N,35538,.00,++,
146,Sunday Sep 18,boxscore,LAA,,SEA,W,5,1,,64-82,3,31.5,Detmers,Gonzales,,2:43,D,24929,.00,+++,
147,Monday Sep 19,boxscore,LAA,,SEA,L,1,9,,64-83,3,32.5,Gilbert,Suarez,,3:08,D,15594,.00,-,
148,Tuesday Sep 20,boxscore,LAA,@,TEX,W,5,2,,65-83,3,32.5,Sandoval,Santana,Herget,2:50,N,19472,.00,+,
