Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
142,Friday Sep 6,boxscore,OAK,,DET,W-wo,7,6,13,62-80,4,14.5,Holman,Brieske,,3:45,N,14669,.00,+,
143,Saturday Sep 7,boxscore,OAK,,DET,L,1,2,,62-81,4,15.5,Hurter,McFarland,Foley,2:23,D,14694,.00,-,
144,Sunday Sep 8,boxscore,OAK,,DET,L,1,9,,62-82,4,15.5,Madden,Ginn,,3:01,D,11250,.00,--,
145,Tuesday Sep 10,boxscore,OAK,@,HOU,W,4,3,12,63-82,4,14.5,Harris,Neris,,3:14,N,36234,.00,+,
146,Wednesday Sep 11,boxscore,OAK,@,HOU,W,5,4,,64-82,4,13.5,Estes,Brown,Miller,2:30,N,32327,.00,++,
147,Thursday Sep 12,boxscore,OAK,@,HOU,L,3,6,,64-83,4,14.5,Pressly,McFarland,,2:21,D,30720,.00,-,
148,Friday Sep 13,boxscore,OAK,@,CHW,W,2,0,,65-83,4,14.5,Basso,Crochet,Miller,2:20,N,26513,.00,+,
149,Saturday Sep 14,boxscore,OAK,@,CHW,L-wo,6,7,,65-84,4,15.5,Varland,Harris,,3:02,N,21478,.00,-,
150,Sunday Sep 15,boxscore,OAK,@,CHW,L,3,4,,65-85,4,16.5,Burke,Sears,Ellard,2:13,D,18017,.00,--,
151,Monday Sep 16,boxscore,OAK,@,CHC,L,2,9,,65-86,4,16.5,Imanaga,Estes,,2:33,N,34532,.00,---,
152,Tuesday Sep 17,boxscore,OAK,@,CHC,W,4,3,,66-86,4,16.5,Spence,Wicks,Miller,2:48,N,32718,.00,+,
153,Wednesday Sep 18,boxscore,OAK,@,CHC,W,5,3,,67-86,4,15.5,Ferguson,Pearson,Miller,2:40,D,27806,.00,++,
154,Friday Sep 20,boxscore,OAK,,NYY,L,2,4,10,67-87,4,17.0,Cole,McFarland,Weaver,2:36,N,23426,.00,-,
155,Saturday Sep 21,boxscore,OAK,,NYY,L,0,10,,67-88,4,18.0,Rodón,Sears,,2:39,N,33198,.00,--,
156,Sunday Sep 22,boxscore,OAK,,NYY,L,4,7,,67-89,4,18.0,Gil,Estes,Weaver,2:55,D,24663,.00,---,
157,Tuesday Sep 24,boxscore,OAK,,TEX,W-wo,5,4,,68-89,4,17.5,Miller,Sborz,,2:34,N,30402,.00,+,
158,Wednesday Sep 25,boxscore,OAK,,TEX,L,1,5,,68-90,4,17.5,Festa,Basso,,2:49,N,35270,.00,-,
159,Thursday Sep 26,boxscore,OAK,,TEX,W,3,2,,69-90,4,17.0,Ginn,Rocker,Miller,2:29,D,46889,.00,+,
160,Friday Sep 27,boxscore,OAK,@,SEA,L,0,2,,69-91,4,18.0,Woo,Sears,Taylor,2:26,N,41429,.00,-,
161,Saturday Sep 28,boxscore,OAK,@,SEA,L-wo,6,7,10,69-92,4,19.0,Bazardo,Alexander,,2:57,N,33007,.00,--,
162,Sunday Sep 29,boxscore,OAK,@,SEA,L,4,6,,69-93,4,19.5,Gilbert,Spence,,2:29,D,42177,.00,---,
