Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
122,Saturday Aug 20,boxscore,WSN,@,SDP,L,1,2,,41-81,5,37.0,Morejón,Cishek,García,3:18,N,42529,.00,-,
123,Sunday Aug 21,boxscore,WSN,@,SDP,L,1,2,,41-82,5,38.0,Manaea,Corbin,Martinez,2:30,D,37040,.00,--,
124,Tuesday Aug 23,boxscore,WSN,@,SEA,L,2,4,,41-83,5,37.5,Ray,Fedde,Sewald,2:48,N,38254,.00,---,
125,Wednesday Aug 24,boxscore,WSN,@,SEA,W,3,1,,42-83,5,37.0,Finnegan,Sewald,,2:57,D,21035,.00,+,
126,Friday Aug 26,boxscore,WSN,,CIN,L,3,7,,42-84,5,38.5,Minor,Cavalli,,3:07,N,31256,.00,-,
127,Saturday Aug 27,boxscore,WSN,,CIN,L,2,6,,42-85,5,39.5,Gibaut,Espino,Díaz,3:05,N,30325,.00,--,
128,Sunday Aug 28,boxscore,WSN,,CIN,W,3,2,,43-85,5,38.5,Corbin,Lodolo,Finnegan,2:21,D,31411,.00,+,
129,Tuesday Aug 30,boxscore,WSN,,OAK,L,6,10,,43-86,5,38.5,Irvin,Fedde,,3:24,N,26321,.00,-,
130,Wednesday Aug 31,boxscore,WSN,,OAK,W,5,1,,44-86,5,38.5,Sánchez,Kaprielian,,2:51,N,26416,.00,+,
131,Thursday Sep 1,boxscore,WSN,,OAK,W-wo,7,5,10,45-86,5,38.5,Harvey,Ruíz,,4:02,D,26877,.00,++,
132,Friday Sep 2,boxscore,WSN,@,NYM,L,3,7,,45-87,5,39.5,Givens,Gray,,3:09,N,33630,.00,-,
133,Saturday Sep 3,boxscore,WSN,@,NYM,W,7,1,,46-87,5,38.5,Corbin,Ottavino,,2:52,N,33509,.00,+,
134,Sunday Sep 4,boxscore,WSN,@,NYM,W,7,1,,47-87,5,37.5,Fedde,Carrasco,,2:54,D,31711,.00,++,
135,Monday Sep 5,boxscore,WSN,@,STL,W,6,0,,48-87,5,37.0,Sánchez,Flaherty,Thompson,3:05,D,45779,.00,+++,
136,Tuesday Sep 6,boxscore,WSN,@,STL,L,1,4,,48-88,5,37.0,Quintana,Espino,Helsley,2:49,N,37629,.00,-,
137,Wednesday Sep 7,boxscore,WSN,@,STL,L-wo,5,6,,48-89,5,38.5,Woodford,Finnegan,,3:18,N,34715,.00,--,
138,Thursday Sep 8,boxscore,WSN,@,STL,W,11,6,,49-89,5,38.0,Thompson,Pallante,,3:57,D,40437,.00,+,
139,Friday Sep 9,boxscore,WSN,@,PHI,L,3,5,,49-90,5,38.5,Syndergaard,Corbin,Nelson,2:39,N,22304,.00,-,
